                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                0.95431,                 1.1627,                 1.1529,                0.81823,                0.75354,                0.83694,                0.63162,                 0.8777,                 1.3436,                 1.1251,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0044,                 1.2794,                 1.1694,                0.93502,                0.77328,                0.88402,                0.68935,                0.84914,                 1.1309,                 1.1084,              0.0013534,              0.0013534,              0.0013534
                     21,                 0.9031,                 1.1974,                 1.1334,                0.85081,                0.83434,                0.86189,                 0.6622,                0.85636,                 1.1493,                 1.1102,              0.0013369,              0.0013369,              0.0013369
                     22,                0.86383,                 1.0395,                 1.0681,                0.88159,                0.84664,                0.87501,                0.71071,                0.76231,                 1.0549,                 1.0597,              0.0013204,              0.0013204,              0.0013204
                     23,                0.83826,                 1.0075,                 1.0952,                 0.8224,                0.75859,                0.81089,                0.63251,                0.78113,                  1.114,                 1.0674,              0.0013039,              0.0013039,              0.0013039
                     24,                0.85709,                 1.0382,                 1.0751,                0.78403,                0.74024,                0.79043,                 0.6187,                0.80173,                 1.2053,                 1.0727,              0.0012874,              0.0012874,              0.0012874
                     25,                0.80031,                0.95878,                 1.0417,                0.77593,                0.76972,                0.79333,                0.63208,                0.76331,                 1.1926,                 1.0416,              0.0012709,              0.0012709,              0.0012709
                     26,                 0.8142,                0.94273,                 1.0531,                0.75923,                0.76782,                0.79677,                   0.63,                 0.7414,                 1.1905,                 1.0392,              0.0012544,              0.0012544,              0.0012544
                     27,                0.85299,                 1.0162,                   1.08,                0.89068,                0.69192,                0.79323,                0.61923,                0.80624,                 1.1575,                 1.0886,              0.0012379,              0.0012379,              0.0012379
                     28,                0.83217,                0.93442,                 1.0475,                0.87481,                0.73309,                0.80391,                0.64804,                0.77396,                 1.0968,                 1.0698,              0.0012214,              0.0012214,              0.0012214
                     29,                0.81952,                0.90254,                 1.0614,                0.81767,                  0.717,                0.81531,                0.64565,                0.79192,                 1.0974,                  1.078,              0.0012049,              0.0012049,              0.0012049
                     30,                0.77065,                 0.8771,                 1.0371,                0.85713,                0.74747,                0.83144,                0.67796,                0.73264,                0.99475,                 1.0586,              0.0011884,              0.0011884,              0.0011884
                     31,                0.78427,                0.91401,                 1.0593,                0.94325,                0.69911,                0.80275,                0.64621,                0.74818,                 1.0587,                 1.0434,              0.0011719,              0.0011719,              0.0011719
                     32,                0.83537,                0.88742,                 1.0595,                  0.894,                0.75556,                 0.8327,                0.66851,                0.73227,                 1.0248,                 1.0346,              0.0011554,              0.0011554,              0.0011554
                     33,                0.78773,                0.89594,                 1.0587,                0.87508,                0.78296,                0.85165,                0.68069,                0.73645,                0.92528,                 1.0332,              0.0011389,              0.0011389,              0.0011389
